"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"80",80,80,80,8903,11001008903,0.11563101,299482.950950931,29334,50045860,2,2179,1404,0.644332262505737,16,0.00617522192203782,138.371186068512,637.85,NA
"81",81,81,81,8904,11001008904,0.17626088,456513.574479548,23445,38466036.9,1,2812,2209,0.785561877667141,39,0.0120036934441367,221.262937073728,1906.04,NA
"82",82,82,82,9000,11001009000,0.5620618,1455733.36865934,47746,65837807.73,3,2911,977,0.335623497080041,58,0.0219033232628399,103.19149958243,94537.52,NA
"83",83,83,83,9102,11001009102,0.70859999,1835265.55017918,28794,77312944,2,4539,3878,0.854373209958141,69,0.0170118343195266,97.3751072166964,24531.6,NA
"84",84,84,84,9201,11001009201,0.24740302,640770.875124095,38115,45375827.82,2,4620,3848,0.832900432900433,53,0.0278215223097113,214.225355858631,0,NA
"85",85,85,85,9203,11001009203,0.22675181,587284.489541665,35161,62405590,2,3364,2751,0.817776456599287,13,0.00516077808654228,57.3314056456705,11143.51,124942
"86",86,86,86,9204,11001009204,0.11700677,303046.147344249,26124,34706643,1,6709,5719,0.852437024891936,28,0.0111865761086696,239.302392502588,73436.72,NA
"87",87,87,87,7200,11001007200,0.63385548,1641678.14768953,70045,186295174,4,2869,2390,0.833042872080864,322,0.118863049095607,508.002234200137,63666.67,NA
"88",88,88,88,7301,11001007301,3.81233131,9873892.76213028,40680,3361568,2,7175,6135,0.855052264808362,31,0.0110007097232079,8.13150733218934,40486.36,NA
"89",89,89,89,2301,11001002301,0.15929393,412569.389844188,37194.5,84654482,2,4277,1753,0.409866729015665,52,0.0179372197309417,326.440561796674,15255.42,NA
"90",90,90,90,2302,11001002302,0.77803955,2015113.17440509,37487,31103989,2,3962,1606,0.40535083291267,40,0.0201714573877963,51.4112682318013,1230.02,NA
"91",91,91,91,2400,11001002400,0.21479058,556305.035604766,38006,106668159,2,3398,1376,0.404944084755739,37,0.0104994324631101,172.260813300099,6352.19,NA
"92",92,92,92,2501,11001002501,0.20981127,543408.695739987,31627.5,74481381,2,2885,949,0.32894280762565,72,0.029520295202952,343.165550639868,778.38,NA
